epoch,test_loss,test_accuracy,test_precision,test_recall,test_f1-score
0.0,4.627427101135254,0.00939306358381503,0.0033322601379674405,0.008938358476181529,0.003048988084003181
1.0,1.5922852754592896,0.6138005780346821,0.6823613418270386,0.5969578833091491,0.5978875667900215
2.0,1.2194116115570068,0.694364161849711,0.7357807428058454,0.6817404103973942,0.6787746487355588
3.0,1.1021504402160645,0.7059248554913294,0.7403964557455432,0.6985455159845831,0.7013815229292656
4.0,1.0233778953552246,0.7196531791907514,0.7597968645117602,0.7125817270616303,0.7185361085088583
5.0,1.0005321502685547,0.7286849710982659,0.7516550490168376,0.726320696050101,0.7260157533800254
6.0,0.9352863430976868,0.7478323699421965,0.7684858424801514,0.7445911893814003,0.7471998272098734
7.0,0.9333224892616272,0.7514450867052023,0.7684823219814002,0.7438953814832949,0.7454113975534667
8.0,0.9179912209510803,0.7478323699421965,0.7604950503819292,0.7406305962993265,0.7409138301109973
9.0,0.9095328450202942,0.7456647398843931,0.7583722115842562,0.7378240704679707,0.7367972397940441
10.0,0.8969060182571411,0.7496387283236994,0.7599831860743046,0.7404141176726801,0.7413462602421069
11.0,0.8821495175361633,0.7611994219653179,0.7677910064107696,0.7562507548447662,0.7558021913817645
12.0,0.8694759607315063,0.7601156069364162,0.7723990854209135,0.7508089211427563,0.7510099613880074
13.0,0.8749620318412781,0.7586705202312138,0.7739555809575174,0.7547400047004003,0.757472789486269
14.0,0.8716856241226196,0.7633670520231214,0.7725736767081709,0.7566442694446721,0.7571563945081323
15.0,0.8608670234680176,0.7651734104046243,0.7776959589311785,0.7577525273121908,0.7594422597080338
16.0,0.8510099649429321,0.7658959537572254,0.7701886589190707,0.7621413121078577,0.7617705979495035
17.0,0.8502881526947021,0.7655346820809249,0.7693418493818325,0.7585727406297056,0.7579578291652522
18.0,0.851037323474884,0.7658959537572254,0.7708541367063624,0.7619008704073142,0.7624985513715636
19.0,0.849945604801178,0.7713150289017341,0.7731483859541023,0.7652419131816464,0.7646650921658301
20.0,0.8484355807304382,0.7684248554913294,0.7742685932624301,0.7648276206591977,0.7637734964843589
